src_id,dst_id,source_ticker,target_ticker,relation_type,weight,base_weight,confidence,observed_at,valid_from,valid_to,directed,source_name,source_record_id,evidence_text,filing_form,accession_number,source_url,temporal_status
NASDAQ100:DXCM,NASDAQ100:GOOG,DXCM,GOOG,strategic_partner,0.222849,0.779000,0.82,2023-02-09T22:06:55.000Z,2023-02-09T22:06:55.000Z,,0,SEC EDGAR,0001093557-23-000024,"These collaborations align with the strategy to seek broader access to our CGM systems for people with Type 2 diabetes, including those who are not treated with intensive insulin therapy.Verily CollaborationOur Restated Collaboration Agreement with Verily Life Science LLC (an Alphabet Company) and Verily Ireland Limited (collectively, Verily) provides us with an exclusive license to use intellectual property of Verily resulting from the collaboration, and certain Verily patents, in the development, manufacture and commercialization of blood-based or interstitial glucose monitoring products more generally (subject to certain exclusions, which are outside the CGM field as it is commonly understood).",10-K,0001093557-23-000024,https://www.sec.gov/Archives/edgar/data/1093557/000109355723000024/dxcm-20221231.htm,public_at_sec_acceptance
NASDAQ100:DXCM,NASDAQ100:GOOGL,DXCM,GOOGL,strategic_partner,0.222849,0.779000,0.82,2023-02-09T22:06:55.000Z,2023-02-09T22:06:55.000Z,,0,SEC EDGAR,0001093557-23-000024,"These collaborations align with the strategy to seek broader access to our CGM systems for people with Type 2 diabetes, including those who are not treated with intensive insulin therapy.Verily CollaborationOur Restated Collaboration Agreement with Verily Life Science LLC (an Alphabet Company) and Verily Ireland Limited (collectively, Verily) provides us with an exclusive license to use intellectual property of Verily resulting from the collaboration, and certain Verily patents, in the development, manufacture and commercialization of blood-based or interstitial glucose monitoring products more generally (subject to certain exclusions, which are outside the CGM field as it is commonly understood).",10-K,0001093557-23-000024,https://www.sec.gov/Archives/edgar/data/1093557/000109355723000024/dxcm-20221231.htm,public_at_sec_acceptance
NASDAQ100:EA,NASDAQ100:MSFT,EA,MSFT,customer,0.393457,0.921500,0.97,2023-05-24T20:19:51.000Z,2023-05-24T20:19:51.000Z,,1,SEC EDGAR,0000712515-23-000028,"Our direct sales to Sony and Microsoft represented approximately 32 percent and 16 percent of total net revenue, respectively, in fiscal year 2023.",10-K,0000712515-23-000028,https://www.sec.gov/Archives/edgar/data/712515/000071251523000028/ea-20230331.htm,public_at_sec_acceptance
NASDAQ100:EXC,NASDAQ100:CEG,EXC,CEG,supplier,0.268025,0.912000,0.96,2023-02-16T16:04:17.000Z,2023-02-16T16:04:17.000Z,,1,SEC EDGAR,0001868275-23-000014,We will rely on Exelon to satisfy its performance and payment obligations under these agreements.,10-K,0001868275-23-000014,https://www.sec.gov/Archives/edgar/data/1868275/000186827523000014/ceg-20221231.htm,public_at_sec_acceptance
NASDAQ100:GFS,NASDAQ100:AMD,GFS,AMD,supplier,0.279622,0.912000,0.96,2023-02-27T21:20:39.000Z,2023-02-27T21:20:39.000Z,,1,SEC EDGAR,0000002488-23-000047,"We are also a party to a Wafer Supply Agreement (WSA) with GLOBALFOUNDRIES Inc. (GF), with respect to wafer purchases for our HPC products at the 12 nm and 14 nm technology nodes.",10-K,0000002488-23-000047,https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/amd-20221231.htm,public_at_sec_acceptance
NASDAQ100:LRCX,NASDAQ100:MU,LRCX,MU,customer,0.008081,0.921500,0.97,2020-08-18T20:30:43.000Z,2020-08-18T20:30:43.000Z,,1,SEC EDGAR,0000707549-20-000138,"Customers accounting for greater than 10% of total revenues in fiscal year 2020 included Micron Technology, Inc.;",10-K,0000707549-20-000138,https://www.sec.gov/Archives/edgar/data/707549/000070754920000138/lrcx10k2020document.htm,public_at_sec_acceptance
NASDAQ100:MRNA,NASDAQ100:AZN,MRNA,AZN,strategic_partner,0.236101,0.779000,0.82,2023-02-24T21:03:35.000Z,2023-02-24T21:03:35.000Z,,0,SEC EDGAR,0001682852-23-000011,"Collaboration AgreementsAstraZeneca – Strategic Alliances in Cardiovascular and OncologyIn March 2013, we entered into an Option Agreement, the AZ Option Agreement, and a related Services and Collaboration Agreement (2013 AZ Agreements), the AZ Services Agreement, with AstraZeneca, which were amended and restated in June 2018 (2018 A&R Agreements).",10-K,0001682852-23-000011,https://www.sec.gov/Archives/edgar/data/1682852/000168285223000011/mrna-20221231.htm,public_at_sec_acceptance
NASDAQ100:MSFT,NASDAQ100:AMD,MSFT,AMD,supplier,0.279622,0.912000,0.96,2023-02-27T21:20:39.000Z,2023-02-27T21:20:39.000Z,,1,SEC EDGAR,0000002488-23-000047,"With respect to our graphics products, we depend in part on Microsoft to design and develop its operating system to run on or support our graphics products.",10-K,0000002488-23-000047,https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/amd-20221231.htm,public_at_sec_acceptance
NASDAQ100:MSFT,NASDAQ100:CERN,MSFT,CERN,supplier,0.003848,0.912000,0.96,2020-02-10T16:03:23.000Z,2020-02-10T16:03:23.000Z,,1,SEC EDGAR,0000804753-20-000007,"For instance, we currently depend on Amazon Web Services, Microsoft, Cloudera, Oracle, VMWare and IBM technologies for portions of the operational capabilities of, among others, our Millennium and HealtheIntent solutions.",10-K,0000804753-20-000007,https://www.sec.gov/Archives/edgar/data/804753/000080475320000007/a201910-k.htm,public_at_sec_acceptance
NASDAQ100:MSFT,NASDAQ100:TTWO,MSFT,TTWO,supplier,0.392411,0.912000,0.96,2023-05-26T00:05:25.000Z,2023-05-26T00:05:25.000Z,,1,SEC EDGAR,0001628280-23-019851,"We rely upon third-party digital delivery platforms, such as Microsoft's Xbox Live, PlayStation Network, Steam, Epic, and other third-party service providers, to provide connectivity from the consumer to our digital products and our online services.",10-K,0001628280-23-019851,https://www.sec.gov/Archives/edgar/data/946581/000162828023019851/ttwo-20230331.htm,public_at_sec_acceptance
NASDAQ100:MTCH,NASDAQ100:HON,MTCH,HON,supplier,0.015872,0.912000,0.96,2021-02-12T19:31:39.000Z,2021-02-12T19:31:39.000Z,,1,SEC EDGAR,0000773840-21-000015,"Because the COVID-19 pandemic could adversely affect our near-term and long-term revenues, earnings, liquidity and cash flows, we have taken and may be required to redeploy significant cost actions, including but not limited to reducing discretionary expenses (such as non-essential travel, contractors, and consultants), reducing hiring, canceling annual merit increases, reducing executive and board of director pay, reducing work schedules across the enterprise, shortening or staggering work schedules to match production with demand, and reducing staffing levels, as well as increasing supplier-based productivity and enhancing spending-limit controls.",10-K,0000773840-21-000015,https://www.sec.gov/Archives/edgar/data/773840/000077384021000015/hon-20201231.htm,public_at_sec_acceptance
NASDAQ100:MTCH,NASDAQ100:MU,MTCH,MU,supplier,0.039689,0.912000,0.96,2021-10-08T17:23:24.000Z,2021-10-08T17:23:24.000Z,,1,SEC EDGAR,0000723125-21-000065,"Food and Drug Administration’s recent approval of the Pfizer-BioNTech COVID-19 vaccine, we mandated that all U.S. employees and, in addition, contractors that enter our U.S. buildings and certain other locations, be fully vaccinated against COVID-19, subject to disability and religious exemptions, by November 15, 2021. •We continue to work closely with our customer base to best match our supply to changing market conditions.•We evaluate our supply chain and communicate with our suppliers to identify supply gaps and have taken steps to provide continuity, to the extent possible, though we expect that constraints within our supply chain for certain IC components may somewhat limit our bit shipments in the near term.",10-K,0000723125-21-000065,https://www.sec.gov/Archives/edgar/data/723125/000072312521000065/mu-20210902.htm,public_at_sec_acceptance
NASDAQ100:QCOM,NASDAQ100:AAPL,QCOM,AAPL,customer,0.010912,0.921500,0.97,2020-11-04T22:19:44.000Z,2020-11-04T22:19:44.000Z,,1,SEC EDGAR,0001728949-20-000067,"2019The increase in QCT equipment and services revenues was primarily due to:+ $1.6 billion in higher revenues per MSM and accompanying RF, PM and wireless connectivity chipset shipments, primarily driven by a favorable mix due to an increase in demand for 5G products+ $864 million in higher RFFE product revenues, primarily driven by an increase in demand for 5G products- $764 million in lower MSM and accompanying chipset shipments, primarily driven by a decrease in demand due to COVID-19, lower legacy MDM sales to Apple and lower sales to Huawei, partially offset by an increase in shipments to Apple under the multi-year chipset supply agreement and an increase in demand for IoT productsQCT EBT as a percentage of revenues increased in fiscal 2020 primarily due to:+ higher revenues and gross margin, primarily driven by a favorable shift in product mix due to an increase in demand for 5G products- higher operating expenses, primarily driven by higher research and development costsQCT accounts receivable increased by 53% in fiscal 2020 from $908 million to $1.39 billion, primarily driven by an increase in revenues.",10-K,0001728949-20-000067,https://www.sec.gov/Archives/edgar/data/804328/000172894920000067/qcom-20200927.htm,public_at_sec_acceptance
NASDAQ100:SBUX,NASDAQ100:PEP,SBUX,PEP,strategic_partner,0.657586,0.779000,0.82,2023-11-17T22:31:27.000Z,2023-11-17T22:31:27.000Z,,0,SEC EDGAR,0000829224-23-000058,"A large portion of our Channel Development business operates under a licensed model of the Global Coffee Alliance with Nestlé, while our global ready-to-drink businesses operate under collaborative relationships with PepsiCo, Inc., Tingyi-Ashi Beverages Holding Co., Ltd., Arla Foods amba, Nestlé and others.6Table of ContentsRevenue ComponentsWe generate the majority of our revenues through company-operated stores and licensed stores.",10-K,0000829224-23-000058,https://www.sec.gov/Archives/edgar/data/829224/000082922423000058/sbux-20231001.htm,public_at_sec_acceptance
NASDAQ100:SPLK,NASDAQ100:TEAM,SPLK,TEAM,supplier,0.031990,0.912000,0.96,2021-08-13T20:31:48.000Z,2021-08-13T20:31:48.000Z,,1,SEC EDGAR,0001650372-21-000028,"Sordello does not have a material interest in the relationship described above.SplunkIn fiscal year 2021, we purchased $9.0 million of services from Splunk Inc. (“Splunk”) for systems monitoring purposes, and Splunk purchased approximately $1.3 million of products from us, both in the ordinary course of business.",20-F,0001650372-21-000028,https://www.sec.gov/Archives/edgar/data/1650372/000165037221000028/team-20210630.htm,public_at_sec_acceptance
NASDAQ100:VRTX,NASDAQ100:MRNA,VRTX,MRNA,strategic_partner,0.223709,0.779000,0.82,2023-02-10T21:12:03.000Z,2023-02-10T21:12:03.000Z,,0,SEC EDGAR,0000875320-23-000007,"In 2016, we entered into a collaboration with Moderna for the identification and development of mRNA therapeutics encoding CFTR for the treatment of CF.",10-K,0000875320-23-000007,https://www.sec.gov/Archives/edgar/data/875320/000087532023000007/vrtx-20221231.htm,public_at_sec_acceptance
NASDAQ100:ZM,NASDAQ100:TEAM,ZM,TEAM,strategic_partner,0.015454,0.779000,0.82,2021-03-18T20:03:41.000Z,2021-03-18T20:03:41.000Z,,0,SEC EDGAR,0001585521-21-000048,"In October 2018, we entered into a strategic partnership with Dropbox, Inc. (“Dropbox”), a global collaboration platform company, which involves the development of technology enabling integrated workflows for users between our platform and the Dropbox platform, as well as a strategic partnership with Atlassian, Inc. (“Atlassian”), a collaboration software company, which involves the development of technology enabling integrated workflows for users between our platform and Atlassian’s Jira Ops and Jira Service Desk products.",10-K,0001585521-21-000048,https://www.sec.gov/Archives/edgar/data/1585521/000158552121000048/zm-20210131.htm,public_at_sec_acceptance
